,KIC,teff,teff_err,age,age_errp,age_errm,period,period_err,logg,logg_errp,logg_errm,feh,feh_err
0,1430163.0,-0.11,0.09,1.9,0.6,0.5,4.16,0.92,4.221,0.013,0.014,-0.11,0.09
1,1435467.0,-0.01,0.09,3.7,1.7,0.8,6.68,0.89,4.094,0.012,0.019,-0.01,0.09
2,2450729.0,6093.0,152.0,6.2,1.8,1.2,53.0,5.32,3.988,0.017,0.017,-0.2,0.3
3,2837475.0,-0.02,0.09,2.0,0.3,0.4,3.68,0.36,4.167,0.01,0.01,-0.02,0.09
4,2852862.0,6572.0,172.0,3.0,0.7,0.7,10.13,0.63,3.965,0.012,0.013,-0.2,0.3
5,2865774.0,6187.0,153.0,4.5,2.0,0.8,6.22,0.56,4.03,0.022,0.025,-0.2,0.3
6,2998253.0,6538.0,167.0,3.2,2.1,1.3,6.79,0.53,4.219,0.026,0.028,-0.2,0.3
7,3112152.0,6591.0,169.0,3.9,1.1,0.8,15.48,1.19,4.042,0.017,0.018,-0.2,0.3
8,3123191.0,6524.0,171.0,1.9,1.7,1.0,20.33,1.38,4.243,0.02,0.022,-0.2,0.3
9,3223000.0,6292.0,178.0,3.3,2.8,2.2,4.85,0.39,4.354,0.025,0.026,-0.2,0.3
10,3236382.0,6847.0,197.0,1.9,0.5,0.9,3.66,0.42,4.165,0.014,0.013,-0.2,0.3
11,3241581.0,5779.0,134.0,10.5,4.5,5.5,26.26,2.01,4.362,0.023,0.018,-0.2,0.3
12,3344897.0,6650.0,167.0,2.6,1.0,0.7,5.66,0.94,3.89,0.017,0.016,-0.2,0.3
13,3424541.0,0.01,0.09,4.0,0.6,0.6,3.46,0.33,3.797,0.016,0.015,0.01,0.09
14,3430893.0,5003.0,0.0,3.1,0.9,0.8,8.29,0.69,4.169,0.015,0.016,-0.2,0.3
15,3632418.0,-0.16,0.09,4.1,0.5,0.6,12.89,1.38,4.01,0.01,0.009,-0.16,0.09
16,3633847.0,6298.0,143.0,4.9,1.1,1.0,10.96,1.03,4.0,0.016,0.018,-0.2,0.3
17,3633889.0,6619.0,151.0,2.2,1.1,1.0,4.23,0.3,4.278,0.011,0.011,-0.2,0.3
18,3642422.0,5206.0,113.0,3.4,1.6,0.9,48.73,-8.19,3.6,0.016,0.021,-0.2,0.3
19,3643774.0,6180.0,130.0,6.8,2.2,2.0,14.4,1.56,4.108,0.017,0.016,-0.2,0.3
20,3656476.0,0.34,0.09,7.2,2.2,1.8,31.67,3.53,4.225,0.008,0.008,0.34,0.09
21,3657002.0,6094.0,148.0,5.1,2.0,1.0,16.02,1.54,4.153,0.012,0.015,-0.2,0.3
22,3661135.0,5656.0,126.0,6.8,1.2,0.7,28.39,4.83,3.926,0.011,0.012,-0.2,0.3
23,3733735.0,-0.04,0.09,0.8,0.4,0.4,2.56,0.19,4.277,0.014,0.014,-0.04,0.09
24,3735871.0,6305.0,147.0,3.0,3.0,2.3,11.53,1.24,4.388,0.021,0.022,-0.2,0.3
25,3761840.0,6673.0,176.0,3.2,0.8,0.7,3.92,0.29,3.709,0.024,0.024,-0.2,0.3
26,3942719.0,5785.0,136.0,5.5,1.9,0.8,37.97,5.05,3.835,0.019,0.019,-0.2,0.3
27,3952580.0,6593.0,166.0,3.2,0.7,1.2,89.75,7.62,3.743,0.022,0.017,-0.2,0.3
28,3967430.0,6903.0,176.0,1.5,0.9,0.5,2.25,0.17,4.236,0.014,0.014,-0.2,0.3
29,4049576.0,6117.0,150.0,5.0,0.9,1.4,20.91,3.0,3.911,0.025,0.021,-0.2,0.3
30,4346201.0,6337.0,164.0,3.8,0.6,0.8,20.31,2.39,3.97,0.014,0.015,-0.2,0.3
31,4465324.0,6040.0,150.0,7.2,4.0,2.0,45.97,3.59,4.185,0.014,0.015,-0.2,0.3
32,4465529.0,6575.0,191.0,3.7,1.4,1.0,6.55,0.68,4.112,0.022,0.024,-0.2,0.3
33,4543171.0,6325.0,157.0,3.8,0.9,0.8,14.09,2.08,4.111,0.016,0.016,-0.2,0.3
34,4554830.0,5538.0,143.0,12.4,3.1,2.9,7.61,0.53,4.167,0.01,0.01,-0.2,0.3
35,4571351.0,6065.0,135.0,7.7,2.3,3.0,15.12,1.39,4.127,0.027,0.023,-0.2,0.3
36,4638884.0,-0.03,0.09,3.3,0.5,0.5,6.46,0.85,4.03,0.011,0.012,-0.03,0.09
37,4646780.0,6807.0,158.0,2.8,0.6,0.9,4.25,1.14,4.029,0.019,0.019,-0.2,0.3
38,4755204.0,6132.0,152.0,4.6,1.2,0.8,22.88,4.04,4.086,0.011,0.013,-0.2,0.3
39,4756112.0,6608.0,172.0,3.6,0.8,0.8,5.43,0.46,3.738,0.021,0.018,-0.2,0.3
40,4842436.0,6050.0,147.0,11.1,3.5,3.2,27.43,3.7,4.062,0.024,0.024,-0.2,0.3
41,4914923.0,0.17,0.09,4.9,1.2,1.1,20.49,2.82,4.212,0.007,0.007,0.17,0.09
42,4931390.0,6539.0,168.0,1.0,0.8,0.6,7.45,0.5,4.274,0.012,0.012,-0.2,0.3
43,5084157.0,6054.0,137.0,7.8,4.6,2.3,22.25,2.85,4.191,0.018,0.02,-0.2,0.3
44,5095159.0,5179.0,156.0,5.0,1.4,1.2,94.15,11.07,3.683,0.017,0.019,-0.2,0.3
45,5095850.0,6962.0,180.0,3.3,0.7,1.4,4.38,0.48,3.885,0.018,0.021,-0.2,0.3
46,5184732.0,0.38,0.09,4.8,1.3,1.2,19.79,2.43,4.258,0.007,0.007,0.38,0.09
47,5265656.0,5205.0,107.0,7.9,8.0,3.4,73.36,8.95,3.664,0.065,0.074,-0.2,0.3
48,5309966.0,6649.0,151.0,3.1,1.0,0.6,10.97,0.92,4.131,0.014,0.015,-0.2,0.3
49,5344612.0,6572.0,157.0,3.5,1.4,0.7,14.59,1.54,4.062,0.016,0.018,-0.2,0.3
50,5353186.0,6447.0,165.0,3.2,1.5,0.6,12.99,1.18,3.89,0.014,0.018,-0.2,0.3
51,5371516.0,0.17,0.09,2.8,0.5,0.5,5.23,0.48,3.983,0.009,0.01,0.17,0.09
52,5431016.0,6941.0,181.0,3.4,0.8,1.2,16.54,5.53,3.896,0.027,0.023,-0.2,0.3
53,5431807.0,5378.0,113.0,3.8,1.1,1.1,27.4,2.14,3.576,0.01,0.011,-0.2,0.3
54,5450445.0,0.05,0.09,3.9,0.6,0.6,12.9,1.18,3.985,0.009,0.009,0.05,0.09
55,5468089.0,6504.0,175.0,2.1,1.0,0.7,11.23,1.08,4.03,0.018,0.025,-0.2,0.3
56,5516982.0,6481.0,163.0,3.0,1.3,1.0,23.6,2.06,4.191,0.013,0.015,-0.2,0.3
57,5523099.0,5531.0,128.0,5.1,0.9,0.8,63.86,9.6,3.782,0.015,0.015,-0.2,0.3
58,5530375.0,6106.0,134.0,3.5,0.8,0.7,21.61,2.1,3.702,0.014,0.014,-0.2,0.3
59,5543462.0,6347.0,181.0,4.0,2.4,1.6,22.32,1.73,4.221,0.02,0.022,-0.2,0.3
60,5686856.0,6087.0,130.0,5.5,1.3,0.9,17.75,2.15,3.996,0.012,0.012,-0.2,0.3
61,5689219.0,6654.0,166.0,3.0,0.7,0.7,0.98,0.07,4.067,0.013,0.013,-0.2,0.3
62,5773155.0,6527.0,163.0,3.7,1.3,0.7,7.51,0.9,4.032,0.018,0.018,-0.2,0.3
63,5773345.0,0.21,0.09,3.5,0.6,0.6,11.57,1.02,3.994,0.008,0.008,0.21,0.09
64,5774694.0,0.07,0.09,1.9,1.9,1.6,12.1,1.03,4.463,0.017,0.019,0.07,0.09
65,5822889.0,5382.0,124.0,2.0,0.7,0.6,88.46,16.22,3.412,0.015,0.016,-0.2,0.3
66,5955122.0,-0.17,0.09,5.4,0.6,0.4,19.13,2.41,3.872,0.009,0.009,-0.17,0.09
67,5961597.0,6665.0,168.0,2.4,0.8,0.5,2.88,0.44,4.039,0.014,0.014,-0.2,0.3
68,6034893.0,5249.0,114.0,1.6,0.5,0.3,72.85,7.17,3.441,0.01,0.011,-0.2,0.3
69,6049366.0,6225.0,167.0,4.8,0.9,1.2,9.59,0.68,3.996,0.021,0.021,-0.2,0.3
70,6116048.0,-0.24,0.09,7.6,1.9,1.8,17.26,1.96,4.269,0.008,0.008,-0.24,0.09
71,6119013.0,5303.0,462.0,2.7,1.2,0.8,42.37,1.71,3.543,0.011,0.011,-0.2,0.3
72,6129877.0,6089.0,149.0,4.6,2.6,1.4,31.43,2.98,4.233,0.014,0.017,-0.2,0.3
73,6232600.0,6556.0,163.0,2.3,1.8,1.3,6.52,0.87,4.269,0.025,0.026,-0.2,0.3
74,6287060.0,5935.0,151.0,5.6,3.0,1.3,29.41,2.0,4.146,0.016,0.02,-0.2,0.3
75,6363365.0,5872.0,658.0,4.6,1.8,1.6,8.8,0.59,4.188,0.016,0.016,-0.2,0.3
76,6448798.0,6421.0,160.0,3.8,0.7,1.3,6.44,0.56,3.829,0.017,0.017,-0.2,0.3
77,6508366.0,-0.08,0.09,3.6,0.7,0.6,3.7,0.35,3.928,0.011,0.011,-0.08,0.09
78,6520835.0,6215.0,185.0,2.899165,0.835875,0.649335,12.89363315,0.1607064719025,3.90993,0.01047,-0.00933,0.07,0.16
79,6530901.0,6438.0,153.0,3.4,1.6,1.1,10.21,0.94,4.155,0.018,0.023,-0.2,0.3
80,6587236.0,6110.0,144.0,3.4,0.9,0.7,17.89,2.17,3.643,0.02,0.021,-0.2,0.3
81,6592305.0,6144.0,139.0,3.0,1.3,0.4,11.6,1.15,3.88,0.01,0.018,-0.2,0.3
82,6593461.0,5832.0,415.0,10.7,4.0,4.9,25.74,2.97,4.193,0.026,0.023,-0.2,0.3
83,6612225.0,6463.0,159.0,3.5,1.2,0.5,7.65,0.9,4.013,0.011,0.012,-0.2,0.3
84,6679371.0,-0.13,0.09,3.4,0.6,0.6,5.48,0.5,3.925,0.01,0.009,-0.13,0.09
85,6689943.0,6092.0,141.0,4.7,1.0,1.0,11.99,1.23,4.165,0.013,0.014,-0.2,0.3
86,6766513.0,6452.0,165.0,3.3,1.1,1.0,16.18,1.16,3.928,0.02,0.018,-0.2,0.3
87,6802438.0,5442.0,122.0,5.6,2.0,1.5,72.85,5.57,3.665,0.018,0.018,-0.2,0.3
88,6853020.0,6397.0,153.0,1.8051700000000002,0.38077999999999995,0.30593,4.96537695,0.1605277103105,3.97503,0.01467,-0.01173,0.28,0.15
89,6863041.0,5744.0,144.0,5.0,0.8,0.9,25.24,2.29,3.801,0.016,0.017,-0.2,0.3
90,7019341.0,5763.0,130.0,10.7,3.6,4.7,32.54,5.83,4.145,0.02,0.02,-0.2,0.3
91,7103006.0,0.05,0.09,3.2,0.5,0.6,4.62,0.48,4.015,0.011,0.012,0.05,0.09
92,7133688.0,6784.0,173.0,3.5,1.4,0.7,9.01,1.14,4.014,0.019,0.02,-0.2,0.3
93,7206837.0,0.14,0.09,2.6,0.7,0.5,4.04,0.28,4.169,0.011,0.011,0.14,0.09
94,7216846.0,5186.0,104.0,4.2,1.2,1.3,59.99,7.82,3.588,0.015,0.017,-0.2,0.3
95,7282890.0,0.02,0.09,3.0,0.9,0.6,5.76,0.55,3.873,0.012,0.013,0.02,0.09
96,7296438.0,5914.0,131.0,12.3,3.6,5.0,25.16,2.78,4.172,0.027,0.023,-0.2,0.3
97,7386523.0,6111.0,153.0,5.5,1.6,0.7,21.83,2.51,3.859,0.024,0.022,-0.2,0.3
98,7448374.0,5822.0,137.0,5.1,1.9,0.7,25.92,2.57,3.819,0.012,0.012,-0.2,0.3
99,7465072.0,6672.0,505.0,5.2,1.2,1.8,9.44,0.86,4.061,0.034,0.033,-0.2,0.3
100,7529180.0,-0.02,0.09,1.3,0.3,0.3,1.92,0.36,4.236,0.017,0.017,-0.02,0.09
101,7591963.0,6019.0,147.0,5.3,1.3,1.2,24.56,4.76,3.983,0.017,0.02,-0.2,0.3
102,7611858.0,5966.0,150.0,7.2,2.5,2.5,23.61,3.0,4.108,0.022,0.024,-0.2,0.3
103,7622208.0,6799.0,182.0,3.2,1.7,0.7,3.25,0.42,4.008,0.013,0.014,-0.2,0.3
104,7668623.0,6141.0,143.0,3.650661,0.547509,0.458601,4.8223414,2.35409504937432,3.85555,0.01205,-0.00995,-0.18,0.16
105,7680114.0,0.11,0.09,6.5,1.6,1.5,26.31,1.86,4.178,0.01,0.01,0.11,0.09
106,7700968.0,5762.0,131.0,7.5,3.3,2.9,36.15,4.16,4.272,0.019,0.018,-0.2,0.3
107,7739672.0,6179.0,105.0,3.344199,1.4448610000000002,0.551389,11.9332516,0.3288797785045,4.06451,0.01209,-0.01101,0.08,0.16
108,7747078.0,-0.26,0.09,6.5,0.8,0.8,17.71,1.78,3.907,0.01,0.01,-0.26,0.09
109,7771282.0,6626.0,156.0,3.2,1.4,0.7,11.88,0.91,4.119,0.016,0.019,-0.2,0.3
110,7800289.0,-0.23,0.09,3.2,0.6,0.6,5.82,1.63,3.694,0.015,0.014,-0.23,0.09
111,7870112.0,5719.0,131.0,9.9,2.9,2.6,35.9,2.88,4.049,0.023,0.018,-0.2,0.3
112,7871531.0,5400.0,60.0,9.15,0.47,0.47,28.760362375000003,0.38131404545415876,4.49,0.03,0.03,-0.24,0.06
113,7910848.0,6325.0,155.0,6.3,1.9,2.2,12.31,1.14,4.087,0.026,0.019,-0.2,0.3
114,7914731.0,6158.0,174.0,4.0,0.9,0.7,24.95,2.31,3.693,0.018,0.019,-0.2,0.3
115,7940546.0,-0.19,0.09,4.2,0.7,0.7,11.36,0.95,3.987,0.009,0.009,-0.19,0.09
116,7970740.0,5367.0,0.0,6.2,3.3,5.9,17.97,3.09,4.557,0.017,0.018,-0.2,0.3
117,8006161.0,0.34,0.09,5.1,3.3,3.2,29.79,3.09,4.485,0.01,0.01,0.34,0.09
118,8016496.0,6566.0,160.0,3.2,0.7,0.8,11.21,1.65,3.976,0.014,0.015,-0.2,0.3
119,8018599.0,6145.0,144.0,2.9,0.8,0.6,15.41,1.18,3.579,0.018,0.018,-0.2,0.3
120,8019508.0,6399.0,160.0,3.7,0.7,1.5,14.8,1.38,3.766,0.021,0.02,-0.2,0.3
121,8026226.0,-0.16,0.09,3.4,0.6,0.6,11.38,2.57,3.695,0.011,0.011,-0.16,0.09
122,8045442.0,6088.0,145.0,3.5,1.0,0.6,23.21,3.03,3.638,0.016,0.017,-0.2,0.3
123,8114155.0,5920.0,140.0,9.8,2.9,3.4,45.16,8.87,4.077,0.022,0.018,-0.2,0.3
124,8174170.0,6114.0,140.0,4.9,1.3,0.8,27.91,2.05,3.859,0.016,0.016,-0.2,0.3
125,8174981.0,6164.0,148.0,4.0,1.2,0.7,18.35,1.25,3.948,0.014,0.02,-0.2,0.3
126,8176564.0,6124.0,145.0,4.6,1.6,0.8,15.41,1.71,4.136,0.012,0.013,-0.2,0.3
127,8179536.0,0.01,0.09,2.0,0.9,0.7,24.55,1.61,4.272,0.012,0.012,0.01,0.09
128,8216936.0,6684.0,128.0,8.456945,0.8356549999999999,0.761345,3.12634845,0.07865278502115,3.9768,0.0129,-0.0113,-1.64,0.17
129,8228742.0,-0.14,0.09,4.5,1.2,0.6,20.23,2.16,4.016,0.008,0.014,-0.14,0.09
130,8249189.0,6505.0,167.0,3.4,1.5,0.8,3.17,0.22,4.09,0.026,0.026,-0.2,0.3
131,8289241.0,6301.0,156.0,4.0,1.9,1.5,7.96,0.71,4.242,0.017,0.017,-0.2,0.3
132,8298626.0,6024.0,151.0,3.9,2.0,1.3,21.5,1.88,4.23,0.013,0.015,-0.2,0.3
133,8367710.0,0.16,0.09,2.6,0.5,0.5,7.84,0.93,3.996,0.011,0.012,0.16,0.09
134,8377423.0,6390.0,534.0,5.1,1.1,1.3,11.39,0.98,3.928,0.032,0.031,-0.2,0.3
135,8391021.0,6409.0,162.0,3.6,0.9,0.8,10.39,1.27,4.163,0.01,0.011,-0.2,0.3
136,8408931.0,6305.0,118.0,1.968427,0.121703,0.580977,18.449031743749998,0.162879178356,3.70803,0.01107,-0.00763,0.33,0.15
137,8414062.0,6372.0,115.0,4.6741779999999995,1.025172,1.6897280000000001,11.310025275000001,0.25356547719050004,4.05034,0.01746,-0.01664,-0.41,0.15
138,8416311.0,6539.0,158.0,3.6,0.6,1.1,4.86,0.75,3.901,0.014,0.013,-0.2,0.3
139,8420801.0,6494.0,162.0,3.1,1.6,0.7,11.74,1.11,4.08,0.017,0.02,-0.2,0.3
140,8435400.0,6619.0,159.0,3.1,1.2,0.7,6.59,0.6,3.863,0.016,0.016,-0.2,0.3
141,8491374.0,6533.0,155.0,3.3,1.5,0.7,11.3,0.84,3.988,0.023,0.023,-0.2,0.3
142,8493735.0,6073.0,143.0,4.2,0.9,0.7,30.43,2.37,3.743,0.015,0.015,-0.2,0.3
143,8493800.0,6209.0,152.0,3.2,1.1,0.9,12.75,2.58,4.196,0.016,0.017,-0.2,0.3
144,8516041.0,6407.0,152.0,4.8,2.4,1.9,7.78,0.8,4.246,0.018,0.019,-0.2,0.3
145,8524425.0,0.14,0.09,7.1,0.9,0.7,42.44,3.44,3.969,0.008,0.008,0.14,0.09
146,8561221.0,-0.06,0.09,3.3,1.1,0.7,68.93,4.69,3.604,0.011,0.012,-0.06,0.09
147,8574769.0,5661.0,123.0,13.8,3.9,3.6,12.95,1.36,4.047,0.016,0.016,-0.2,0.3
148,8579578.0,-0.09,0.09,3.5,0.9,0.7,3.81,0.65,3.913,0.014,0.014,-0.09,0.09
149,8621637.0,5843.0,135.0,7.0,1.9,1.0,19.4,1.28,3.946,0.015,0.016,-0.2,0.3
150,8656342.0,6317.0,152.0,6.2,1.8,2.2,1.45,0.07,4.073,0.026,0.02,-0.2,0.3
151,8677016.0,5892.0,134.0,3.9,2.4,1.6,28.95,2.26,4.235,0.026,0.028,-0.2,0.3
152,8696343.0,6071.0,138.0,3.4,2.5,1.7,5.42,0.6,4.335,0.015,0.016,-0.2,0.3
153,8776961.0,5920.0,146.0,7.3,1.6,2.5,28.38,3.03,4.022,0.015,0.013,-0.2,0.3
154,8817551.0,6005.0,148.0,4.9,0.8,0.7,25.2,3.59,3.797,0.014,0.015,-0.2,0.3
155,8915084.0,5991.0,143.0,5.9,3.6,0.9,18.17,2.79,4.143,0.012,0.019,-0.2,0.3
156,8950146.0,6414.0,150.0,2.3,1.7,1.1,8.59,0.65,4.266,0.018,0.019,-0.2,0.3
157,8952800.0,6148.0,151.0,3.9,1.0,0.6,26.6,2.18,3.947,0.011,0.013,-0.2,0.3
158,8956017.0,6795.0,180.0,2.9,0.6,0.8,3.43,0.42,4.056,0.016,0.016,-0.2,0.3
159,8981766.0,6741.0,447.0,3.4,0.6,0.7,9.28,0.65,4.059,0.014,0.015,-0.2,0.3
160,9049593.0,6240.0,165.0,6.4,5.5,1.3,12.36,2.55,4.189,0.018,0.025,-0.2,0.3
161,9073645.0,6480.0,172.0,3.7,0.8,1.1,16.49,2.45,3.836,0.016,0.017,-0.2,0.3
162,9093289.0,6432.0,150.0,3.7,2.2,1.4,6.76,0.69,4.202,0.023,0.024,-0.2,0.3
163,9098294.0,5840.0,60.0,7.28,0.51,0.51,16.4695219,0.126262928958333,4.3,0.03,0.03,-0.13,0.06
164,9116461.0,6678.0,171.0,1.4,1.5,1.1,3.04,0.34,4.323,0.015,0.017,-0.2,0.3
165,9119139.0,5877.0,132.0,10.4,3.2,2.1,40.14,3.62,3.971,0.017,0.018,-0.2,0.3
166,9138680.0,6104.0,147.0,4.3,0.9,0.7,18.79,1.53,3.786,0.015,0.016,-0.2,0.3
167,9163769.0,6687.0,169.0,2.2,1.0,0.6,3.18,0.22,4.194,0.016,0.017,-0.2,0.3
168,9202077.0,6128.0,135.0,3.8,0.7,0.8,15.46,1.37,3.996,0.013,0.013,-0.2,0.3
169,9206432.0,0.23,0.09,1.1,0.4,0.4,8.8,1.06,4.234,0.009,0.009,0.23,0.09
170,9225600.0,6444.0,161.0,4.1,1.1,0.9,8.98,0.62,4.046,0.019,0.02,-0.2,0.3
171,9226926.0,-0.23,0.09,2.2,0.3,0.3,2.17,0.15,4.151,0.013,0.012,-0.23,0.09
172,9273544.0,6068.0,139.0,5.5,1.7,1.4,34.7,2.29,4.112,0.013,0.013,-0.2,0.3
173,9287845.0,6852.0,178.0,3.0,0.9,0.9,9.56,1.33,3.897,0.021,0.021,-0.2,0.3
174,9289275.0,6290.0,155.0,3.7,0.9,0.6,11.24,1.07,4.065,0.011,0.012,-0.2,0.3
175,9292130.0,6332.0,159.0,4.5,0.8,1.2,18.86,1.97,3.885,0.015,0.013,-0.2,0.3
176,9328372.0,6475.0,162.0,2.9,1.0,0.7,3.99,0.6,4.089,0.022,0.022,-0.2,0.3
177,9335972.0,5932.0,225.0,5.2,1.7,0.7,26.8,3.19,3.847,0.01,0.01,-0.2,0.3
178,9353712.0,6599.0,162.0,3.6,0.8,1.0,11.3,1.12,3.926,0.015,0.013,-0.2,0.3
179,9390670.0,6343.0,149.0,4.3,1.4,1.1,3.55,0.25,4.088,0.022,0.024,-0.2,0.3
180,9394953.0,5779.0,133.0,5.2,1.7,0.9,23.79,2.2,4.036,0.014,0.019,-0.2,0.3
181,9402223.0,6510.0,171.0,3.4,0.7,1.2,4.87,0.89,3.776,0.016,0.016,-0.2,0.3
182,9410862.0,6143.0,148.0,3.4,1.9,1.5,22.77,2.37,4.316,0.012,0.013,-0.2,0.3
183,9414381.0,5797.0,123.0,6.3,1.2,0.7,46.74,4.37,3.868,0.01,0.01,-0.2,0.3
184,9414417.0,6512.0,165.0,4.7,0.6,1.2,10.68,0.66,3.995,0.016,0.014,-0.2,0.3
185,9446628.0,6371.0,172.0,4.3,0.8,1.1,10.04,0.83,3.97,0.022,0.023,-0.2,0.3
186,9457728.0,6383.0,158.0,4.8,0.6,1.5,23.4,2.65,3.991,0.017,0.014,-0.2,0.3
187,9468847.0,6160.0,141.0,5.7,1.5,1.1,14.65,1.76,3.99,0.016,0.015,-0.2,0.3
188,9512063.0,5953.0,139.0,5.1,1.4,0.7,23.0,3.85,3.881,0.017,0.017,-0.2,0.3
189,9542776.0,6827.0,171.0,3.8,0.7,1.0,7.45,0.51,3.79,0.041,0.046,-0.2,0.3
190,9579208.0,6498.0,160.0,3.6,1.4,0.6,5.39,0.59,4.023,0.013,0.014,-0.2,0.3
191,9696358.0,6315.0,160.0,3.8,0.9,1.0,17.05,1.55,3.934,0.02,0.022,-0.2,0.3
192,9697131.0,6545.0,166.0,3.2,0.8,0.8,6.18,0.5,4.024,0.015,0.017,-0.2,0.3
193,9700430.0,6058.0,145.0,4.4,2.0,1.1,26.83,2.66,4.15,0.015,0.018,-0.2,0.3
